phase,condition,seed,en_blimp,nl_blimp,zh_blimp
P1,en,42,0.6083,0.4878,0.4755
P1,en,123,0.5891,0.4726,0.4893
P1,en,456,0.6091,0.5160,0.4839
P1,en,789,0.6059,0.4863,0.5045
P1,en,1024,0.5947,0.5074,0.4527
P1,nl,42,0.5508,0.7052,0.5139
P1,nl,123,0.5381,0.7113,0.5173
P1,nl,456,0.5547,0.7132,0.4879
P1,nl,789,0.5418,0.7029,0.5167
P1,nl,1024,0.5425,0.7190,0.4960
P1,zh,42,0.4872,0.5032,0.6210
P1,zh,123,0.5170,0.5196,0.6324
P1,zh,456,0.5058,0.5437,0.6281
P1,zh,789,0.4740,0.5091,0.6335
P1,zh,1024,0.5390,0.5210,0.6445
P2,nl2en,42,0.6517,0.5548,0.4922
P2,nl2en,123,0.6419,0.5541,0.5485
P2,nl2en,456,0.6505,0.5269,0.5224
P2,nl2en,789,0.6408,0.5400,0.5094
P2,nl2en,1024,0.6615,0.5672,0.5075
P2,zh2en,42,0.6169,0.4970,0.5362
P2,zh2en,123,0.5945,0.5038,0.5368
P2,zh2en,456,0.6211,0.4894,0.5622
P2,zh2en,789,0.6244,0.4866,0.5401
P2,zh2en,1024,0.6068,0.4836,0.5084
P2,en2nl,42,0.5869,0.7230,0.4764
P2,en2nl,123,0.5845,0.7288,0.5078
P2,en2nl,456,0.5771,0.7358,0.4944
P2,en2nl,789,0.5700,0.7337,0.5260
P2,en2nl,1024,0.5746,0.7323,0.4800
P2,zh2nl,42,0.5405,0.7214,0.5264
P2,zh2nl,123,0.5345,0.7250,0.5456
P2,zh2nl,456,0.5421,0.7231,0.5090
P2,zh2nl,789,0.5328,0.7307,0.5229
P2,zh2nl,1024,0.5313,0.7107,0.5356
